regions,FCA,CRO,PSO,Random,CPSO
10,3.862437799,2.22750884,2.228083695,3.559492627,2.192342023
20,3.506236632,3.009589025,2.826484909,3.417156286,2.57672661
30,4.677222768,4.227296793,3.870749778,5.40912297,3.726473574
40,5.664060013,5.142172971,4.191637676,5.597435285,4.014835867
50,5.720418997,5.211265907,4.991927244,5.743456224,4.864802625
60,5.790418997,5.291265907,5.291927244,5.043456224,5.064802625
70,5.720418997,5.311265907,5.291927244,5.043456224,5.164802625
80,5.790418997,5.211265907,4.901927244,5.213456224,4.764802625
90,5.790418997,5.411265907,5.491927244,4.343456224,4.264802625
100,5.820418997,4.911265907,5.091927244,5.043456224,4.994802625
